Date LocalTime,Date Comment,Activity Description,Activity Scale,Additional Details,References
1977-10-19,,Small phreatic event,2,Observed doming in lake,RUA 77/10
1977-11-02,,Moderate phreatomagmatic eruption with lahar down Whangaehu valley,4,"Ballistics 700m from the lake, ash apron extending NE over 5km, rare breadcrust bombs","RUA 77/11, 12"
1977-11-04,,Small phreatomagmatic eruption,2,"Possible ash on snow, steam columns observed",RUA 77/12
1977-11-07,,Small phreatomagmatic eruption,2,Steam column observed,RUA 77/12
1977-11-09,,Small phreatomagmatic eruption,2,Steam column observed,RUA 77/12
1978-01-15,,Very small phreatic eruption,2,"Confined to lake, upwelling ",RUA 78/01
1978-01-18,,Very small phreatic eruption,2,"Confined to lake, upwelling",RUA 78/01
1978-03-07,,Moderate phreatic eruption,4,Ash on snow 2 km down wind from vent,RUA 78/04
1978-06-12,,Small phreatic eruption,1,Rapid upwelling,RUA 78/08
1978-06-13,,Small phreatic eruptions,1,Six small events observed,RUA 78/08
1978-06-15,,Small phreatic eruptions,1,Six small events observed,RUA 78/08
1978-06-16,,small phreatic eruptions,1,Two small events observed,RUA 78/08
1978-09-02,,Phreatic activity,2,Ash observed on snow,RUA 78/12
1978-09-07,,Phreatic acivity,3,"Ash on snow, eruption observed by skier",RUA 78/12
1978-09-09,,Phreatic activity,1,Report from park rangers of observed activity,RUA 78/12
1978-10-30,1978 October 30-31,Phreatic activity,2,Possible ash on snow,RUA 78/14
1978-10-31,1978 October 30-31,Phreatic activity,2,Possible ash on snow,RUA 78/14
1979-01-17,,Moderate phreatomagmatic eruption,2,"Confined to lake, jetting to 200m",RUA 79/02
1979-06-30,,Phreatic activity,2,"Hut log, 2 eruptions observed, doming to 5m",RUA 79/07
1979-07-15,,Phreatic activity,1,Steam column reported,RUA 79/06
1979-08-18,,Phreatic activity,1,Steams column observed,RUA 79/07
1979-12-17,1979 December 10-24,Small phreatic/phreatomagmatic eruption,3,"Ash seen on snow from 35km away, also climber report of ash on Pyramid peak",RUA 80/01
1980-01-29,,Phreatic/phreatomagmatic eruption,2,"Confined to lake, jets to 10m ",RUA 80/02
1980-02-02,,Small phreatic/phreatomagmatic eruption,2,"Confined to lake, climbers report sounds and steam",RUA 80/03
1980-02-06,,Small phreatic/phreatomagmatic eruption,2,Steam column observed,RUA 80/03
1980-02-20,,Small phreatic eruptions,2,"Four observed, doming to 5 m",RUA 80/04
1980-02-29,,Small phreatic/phreatomagmatic eruptions,2,"Four observed, doming 5-10 m",RUA 80/05
1980-03-27,,small phreatic/phreatomagmatic eruptions,2,"Three observed, doming/jets to 20 m",RUA 80/07
1980-04-12,,small phreatic/phreatomagmatic eruptions,2,"Four observed, jets to 30m",RUA 80/08
1980-04-13,,small phreatic/phreatomagmatic eruption,2,"Two events, jets to 30 m",RUA 80/08
1980-04-14,,small phreatic/phreatomagmatic eruption,2,Large steam plume observed,RUA 80/08
1980-04-16,,small phreatic/phreatomagmatic eruption,2,Steam plume observed,RUA 80/08
1980-10-18,,Very small phreatic/phreatomagmatic eruption,3,"Confined to basin, ash in snow, volcanic earthquake",RUA 80/17
1980-11-03,,Very small phreatic/phreatomagmatic eruption,3,"Ash in snow, volcanic earthquake",RUA 80/18
1981-10-20,1981 October 10 – November 1,Very small phreatic/phreatomagmatic eruption,3,Ash in snow (date unknown),RUA 81/11
1981-11-19,,Very small phreatic/phreatomagmatic event,3,"Ash in snow, flood peak",RUA 81/12
1981-11-24,,Small phreatic/phreatomagmatic eruption,2,Two events observed,RUA 81/12
1981-12-28,,Phreatic/phreatomagmatic eruption (s),2,"Two events observed, jets to 100m. Other steam plumes also seen",RUA 81/13
1982-01-10,,Phreatic/phreatomagmatic eruption (s),2,Eruption observed by float plane operator,RUA 81/13a
1982-01-11,,Phreatic/phreatomagmatic eruption (s),2,Observed from Ohakea,RUA 82/01
1982-01-12,,Phreatic/phreatomagmatic eruptions,2,"23 eruptions observed, jets up to 40 m",RUA 82/01
1982-01-18,,Phreatic/phreatomagmatic eruptions,2,"Four eruptions observed, jets to 50 m",RUA 82/01
1982-01-22,,Phreatic/phreatomagmatic eruptions,2,"20 eruptions observed, jets to 50 m",RUA 82/01
1982-02-05,,Phreatic/phreatomagmatic eruptions,2,Three eruptions ,RUA 82/02
1982-02-11,,Phreatic/phreatomagmatic eruptions,2,Five eruptions observed,RUA 82/03
1982-02-12,,Phreatic/phreatomagmatic eruptions,2,Two eruptions observed,RUA 82/03a
1982-03-06,,Phreatic/phreatomagmatic eruptions,2,Two eruptions observed,RUA 82/04
1982-03-16,,Phreatic/phreatomagmatic eruption,2,Steam column reported,RUA 82/06
1982-03-18,,Phreatic/phreatomagmatic eruption,2,"An eruption was observed, waves 1 m in outlet.",RUA 82/05
1982-03-23,,Phreatic/phreatomagmatic eruption (s),2,"Five observed, jets from 20-100 m",RUA 82/06
1982-03-26,,Phreatic/phreatomagmatic eruption,2,Jetting,RUA 82/06
1985-05-21,,Phreatic eruption,2,Hydrothermal eruptions reported,RUA 85/05
1985-05-25,,Phreatic eruption (s),2,"Eruptions observed, to 10 m",RUA 85/05
1985-05-28,,Phreatic eruptions,2,"15 eruptions observed, jets to 10 m",RUA 85/05
1985-06-04,,Phreatic eruptions,2,"10 eruptions observed, jets 10-15 m",RUA 85/06
1985-10-31,,Phreatic eruption,2,"Upwelling, surging observed",RUA 85/12
1985-11-11,,Phreatic eruption,1,Upwelling and steam observed,RUA 85/12
1985-11-15,,Small phreatic eruption,1,Small upwellings observed (two occasions),RUA 85/12
1986-02-08,,Very small phreatic eruptions,1,Steam and sounds twice,RUA 86/02
1986-02-08,,Very small phreatic eruption,1,Seen from flight,RUA 86/02
1987-08-24,,Very small phreatic eruptions,1,Confined to lake 1m doming,RUA 8707
1987-08-29,,Small phreatic event (s),1,Steam observed from Taupo,RUA 87/07
1987-08-30,,Small phreatic event (s),1,Steam observed from Taupo,RUA 87/07
1987-08-31,,Small phreatic event (s),2,Muds observed to 10 m,RUA 87/07
1988-03-20,,Small phreatic events,1,"Noises heard, lake disturbed",RUA 88/03
1988-03-22,,Small phreatic event,1,Activity seen in lake,RUA 88/03
1988-03-26,,Small phreatic event,1,Activity seen in lake,"RUA 88/03, 88/04"
1988-04-12,,Small phreatic event,1,Activity seen in lake,RUA 88/04
1988-04-16,,Small phreatic event,1,Activity seen in lake,RUA 88/05
1988-04-18,,Small phreatic event,1,Steam column,RUA 88/05
1988-12-08,,Moderate phreatic eruption with small lahar down Whangaehu valley,4,Summit plateau and Whangaehu valley; ash 1.1 km NE of vent,RUA 88/12
1989-01-27,,Small phreatic eruption,1,Steaming and lake doming,RUA 89/02
1989-01-28,,Small phreatic eruption,1,Steam observed,RUA 89/02
1989-01-29,,Small phreatic eruption,1,Jetting observed,RUA 89/02
1989-01-31,,Small phreatic eruption,1,Steam observed,RUA 89/02
1989-02-06,,Small phreatic eruption,1,Steam observed,RUA 89/03
1989-02-15,,Small phreatic eruption,1,Steam observed,RUA 89/04
1989-02-27,,Small phreatic eruption,1,Steam observed,RUA 89/04
1989-02-28,,Small phreatic eruption,1,Steam observed,RUA 89/04
1989-07-01,,Small phreatic eruption,1,Lake disturbances observed,RUA 89/08
1989-07-02,,Small phreatic eruption,1,Small eruption observed,RUA 89/08
1989-07-03,,Small phreatic eruption,1,Two steam columns observed,RUA 89/08
1989-07-24,,Small phreatic eruption,1,Eruption observed at outlet,RUA 89/08
1990-01-07,,Small phreatic eruption,1,Jetting observed 50-60 m,RUA 90/01
1990-01-12,,Small phreatic eruptions,1,Jetting to 20 m,RUA 90/01
1990-01-14,,Small phreatic eruptions,1,Eruptions reported as small and large,RUA 90/01
1990-01-23,,Small phreatic eruption,1,Pilot observation,RUA 90/02
1990-01-24,,Small phreatic eruption,1,Steam column observed,RUA 90/02
1990-01-25,,Small phreatic eruption,1,Steam column observed,RUA 90/02
1990-01-26,,Small phreatic eruptions,1,"Five small eruptions seen, 1-5 m high, steam columns",RUA 90/02
1990-01-31,,Small phreatic eruptions,2,"Two events, lake up doming seen",RUA 90/02
1990-02-01,,Small phreatic eruption,2,"Eruption observed, doming 10 m",RUA 90/03
1990-02-04,,Small phreatic eruptions,1,Three events observed,RUA 90/03a
1990-06-17,,Floating blocks,1,Two events bringing floating blocks to lake surface,RUA 90/07
1992-02-08,,Minor phreatic eruption,1,Upwelling in lake,RUA 92/02
1992-02-12,,Minor pheratic activity,1,Steam columns observed,RUA 92/03
1992-02-18,,Small phreatic eruption(s),1,"Observed on two scenic flights, waves 1 m","RUA 92/02, 92/03"
1992-02-20,,Small phreatic eruption,1,Climber report,RUA 92/03
1992-02-23,,Small phreatic eruption,1,Climber report,RUA 92/03
1992-03-06,,Small phreatic eruption,1,Climber and pilot reports,RUA 92/03
1994-02-12,,Small phreatic eruption,1,Climber report,RUA 94/02
1994-03-01,,Small phreatic eruption,1,Observed from Dome,RUA 94/02
1994-03-05,,Small phreatic eruption,1,Observed from Dome,RUA 94/02
1994-03-07,,Small phreatic eruption,1,"Observed from Dome, upwelling",RUA 94/02
1994-03-31,,Small phreatic eruption,1,Steam columns observed,RUA 94/02
1995-01-14,,Phreatic eruptions,2,"Three events observed, jetting to 60 m",RUA 95/01
1995-01-20,,Small phreatic eruption,1,Lake being disturbed,RUA 95/01
1995-01-24,,Small phreatic eruption,1,Lake being disturbed,RUA 95/02
1995-01-29,,Small phreatic eruptions,1,Two minor eruptions observed,RUA 95/02
1995-01-30,,Small phreatic eruption,1,"Eruption observed, 10-20 m high",RUA 95/02
1995-02-04,,Small phreatic eruptions,1,Two minor eruptions heard,RUA 95/02
1995-02-15,,Small phreatic eruption(s),1,Steam columns observed,RUA 95/02
1995-02-25,,Small phreatic eruption,1,Steam column observed,RUA 95/02
1995-02-27,,Small phreatic eruption,2,"Pilot report, activity to 30 m",RUA 95/02
1995-04-25,,Activity in lake,1,Rapid changes recorded by ARGOS equipment,RUA 95/03
1995-04-27,,Phreatic eruptions,2,Three small eruptions observed in lake,RUA 95/03
1995-05-07,,Phreatic eruptions,2,Two eruptions observed and reported,RUA 95/03
1995-05-25,,Phreatic/phreatomagmatic eruption,2,Lake disturbance observed ,RUA 95/04
1995-06-29,,Phreatic/phreatomagmatic eruption,3,"Destroyed ARGOS equipment, minor ash in snow out +100 m",RUA 95/04
1995-07-04,,Phreatic/phreatomagmatic eruption,2,Two eruptions observed,RUA 95/04
1995-09-18,,Moderate phreatomagmatic eruption with lahar down Whangaehu valley,4,Summit plateau and Whangaehu valley,RUA 95/06
1995-09-20,,"Phreatic/phreatomagmatic eruptions, large overflow into Whangaehu >1000 l/s",2,"Twenty events observed in the lake, large overflow",RUA 95/06
1995-09-23,,Major phreatomagmatic eruption.  ,5,"Lahars down Whakapapanui, Mangaturuturu and Whangaehu valleys; ash 150 km from vent",
1995-09-25,,Smaller surtseyan type eruptions with large lahars down Whangaehu valley,4,Summit plateau and Whangaehu valley; ash 10 km E from vent,
1995-09-26,,Smaller phreatomagmatic eruptions,4,Summit plateau affected,
1995-09-27,,Smaller phreatomagmatic eruptions,4,Summit plateau affected,
1995-09-28,,Smaller phreatomagmatic eruptions,4,Summit plateau affected,
1995-09-29,,Smaller phreatomagmatic eruptions,4,Summit plateau affected,
1995-09-30,,Smaller phreatomagmatic eruptions,4,Summit plateau affected,
1995-10-01,,Smaller phreatomagmatic eruptions,4,Summit plateau affected,
1995-10-02,,Smaller phreatomagmatic eruptions,4,Summit plateau affected,
1995-10-03,,Smaller phreatomagmatic eruptions,4,Summit plateau affected,
1995-10-04,,Smaller phreatomagmatic eruptions,4,Summit plateau affected,
1995-10-05,,Smaller phreatomagmatic eruptions,4,Summit plateau affected,
1995-10-07,,Large phreatomagmatic eruption with lahar down Whangaehu valley,4,Summit plateau and Whangaehu valley,
1995-10-11,,Near-continuous major magmatic eruptions with voluminous ash emissions,5,Major magmatic eruptions with voluminous ash emissions; ash 250 km NE of vent,
1995-10-12,,Degassing-type eruptions and minor ash eruptions,3,Ash eruptions from two vents in the crater,
1995-10-13,,Degassing-type eruptions and minor ash eruptions,3,Ash eruptions from two vents in the crater,
1995-10-14,,Major magmatic eruption with voluminous ash emissions and lahar down Whangaehu valley,5,Eruption with voluminous ash emissions and lahar down Whangaehu valley; ash 200 km SE of vent,
1995-10-15,,Degassing-type eruptions and minor ash eruptions,3,Ash eruptions from two vents in the crater,
1995-10-16,,Degassing-type eruptions and minor ash eruptions,3,Ash eruptions from two vents in the crater,
1995-10-17,,Degassing-type eruptions and minor ash eruptions,3,Ash eruptions from two vents in the crater,
1995-10-18,,Degassing-type eruptions and minor ash eruptions,3,Ash eruptions from two vents in the crater,
1995-10-19,,Degassing-type eruptions and minor ash eruptions,3,Ash eruptions from two vents in the crater,
1995-10-20,,Degassing-type eruptions and minor ash eruptions,3,Ash eruptions from two vents in the crater,
1995-10-21,,Degassing-type eruptions and minor ash eruptions,3,Ash eruptions from two vents in the crater,
1995-10-22,,Degassing-type eruptions and minor ash eruptions,3,Ash eruptions from two vents in the crater,
1995-10-23,,Degassing-type eruptions and minor ash eruptions,3,Ash eruptions from two vents in the crater,
1995-10-24,,Degassing-type eruptions and minor ash eruptions,3,Ash eruptions from two vents in the crater,
1995-10-25,,Degassing-type eruptions and minor ash eruptions,3,Ash eruptions from two vents in the crater,
1995-10-26,,Degassing-type eruptions and minor ash eruptions,3,Ash eruptions from two vents in the crater,
1995-10-27,,Degassing-type eruptions and minor ash eruptions,3,Ash eruptions from two vents in the crater,
1995-10-28,,Degassing-type eruptions and minor ash eruptions,3,Ash eruptions from two vents in the crater,
1995-10-29,,Degassing-type eruptions and minor ash eruptions,3,Ash eruptions from two vents in the crater,
1995-10-30,,Degassing-type eruptions and minor ash eruptions,3,Ash eruptions from two vents in the crater,
1995-10-31,,Degassing-type eruptions and minor ash eruptions,3,Ash eruptions from two vents in the crater,
1996-06-17,,Major phreatomagmatic eruptions followed by strombolian eruptions with lahar down Whangaehu valley,5,"Major phreatomagmatic and strombolian eruptions, lahar in Whangaehu valley; ash to Bay of Plenty coast",
1996-06-18,,Weak to moderate ash eruptions,3,"Crater Lake removed, ash cone formed on crater floor",
1996-06-19,,Weak to moderate ash eruptions,3,Eruptions from vent on crater floor,
1996-06-20,,Weak to moderate ash eruptions,3,Eruptions from vent on crater floor,
1996-06-21,,Weak ash eruptions,3,Eruptions from vent on crater floor,
1996-06-22,,Weak ash eruptions,3,Eruptions from vent on crater floor,
1996-06-23,,Weak ash eruptions,3,Eruptions from vent on crater floor,
1996-06-24,,Weak ash eruptions,3,Eruptions from vent on crater floor,
1996-06-25,,Weak ash eruptions,3,Eruptions from vent on crater floor,
1996-06-26,,Weak ash eruptions,3,Eruptions from vent on crater floor,
1996-06-27,,Large magmatic eruptions followed by ash eruptions,4,Eruption column reaches to 7 km.,
1996-06-28,1996 June 28 – July 3,Intermittent minor ash eruptions,3,Summit plateau and area surrounding mountain,
1996-06-28,1996 June 28 – July 3,Intermittent minor ash eruptions,3,Summit plateau and area surrounding mountain,
1996-06-29,1996 June 28 – July 3,Intermittent minor ash eruptions,3,Summit plateau and area surrounding mountain,
1996-06-30,1996 June 28 – July 3,Intermittent minor ash eruptions,3,Summit plateau and area surrounding mountain,
1996-07-01,1996 June 28 – July 3,Intermittent minor ash eruptions,3,Summit plateau and area surrounding mountain,
1996-07-02,1996 June 28 – July 3,Intermittent minor ash eruptions,3,Summit plateau and area surrounding mountain,
1996-07-03,1996 June 28 – July 3,Intermittent minor ash eruptions,3,Summit plateau and area surrounding mountain,
1996-07-04,,Large ash eruption,4,Summit plateau; ash 40 km downwind from vent,
1996-07-08,,Large near-continuous strombolian eruptions,5,,
1996-07-09,1996 July 9 – 14,Intermediate strombolian and vulcanian eruptions,4,,
1996-07-10,1996 July 9 – 14,Intermediate strombolian and vulcanian eruptions,4,,
1996-07-11,1996 July 9 – 14,Intermediate strombolian and vulcanian eruptions,4,,
1996-07-12,1996 July 9 – 14,Intermediate strombolian and vulcanian eruptions,4,,
1996-07-13,1996 July 9 – 14,Intermediate strombolian and vulcanian eruptions,4,,
1996-07-14,1996 July 9 – 14,Intermediate strombolian and vulcanian eruptions,4,,
1996-07-15,,Ash eruptions,4,Summit plateau and area surrounding mountain,
1996-07-16,,Several large magmatic eruptions with large ash plumes,4,,
1996-07-17,1996 July 17 – 19,Minor ash eruptions,4,Summit plateau and area surrounding mountain,
1996-07-18,1996 July 17 – 19,Minor ash eruptions,4,Summit plateau and area surrounding mountain,
1996-07-19,1996 July 17 – 19,Minor ash eruptions,4,Summit plateau and area surrounding mountain,
1996-07-20,,Large magmatic eruptions with large ash plumes and fire fountaining,5,; ash east of the vent,
1996-07-21,1996 July 21 – August 31,Minor ash eruptions,3,,
1996-07-26,1996 July 21 – August 31,Minor ash eruptions,3,,
1996-08-05,1996 July 21 – August 31,Minor ash eruptions,3,,
1996-08-10,1996 July 21 – August 31,Minor ash eruptions,3,,
1996-08-15,1996 July 21 – August 31,Minor ash eruptions,3,,
1996-08-20,1996 July 21 – August 31,Minor ash eruptions,3,,
1996-08-25,1996 July 21 – August 31,Minor ash eruptions,3,,
1996-08-31,1996 July 21 – August 31,Minor ash eruptions,3,,
1996-09-01,1996 September 1 – 9,Minor eruptions with local ash falls,3,,
1996-09-02,1996 September 1 – 9,Minor eruptions with local ash falls,3,,
1996-09-03,1996 September 1 – 9,Minor eruptions with local ash falls,3,,
1996-09-04,1996 September 1 – 9,Minor eruptions with local ash falls,3,,
1996-09-05,1996 September 1 – 9,Minor eruptions with local ash falls,3,,
1996-09-06,1996 September 1 – 9,Minor eruptions with local ash falls,3,,
1996-09-07,1996 September 1 – 9,Minor eruptions with local ash falls,3,,
1996-09-08,1996 September 1 – 9,Minor eruptions with local ash falls,3,,
1996-09-09,1996 September 1 – 9,Minor eruptions with local ash falls,3,,
1997-10-12,,Minor phreatic eruptions,1,Confined to basin,
1997-11-01,,Minor phreatic eruptions,1,Confined to basin,
1998-11-08,,Small phreatic eruptions,1,Confined to basin,
2006-10-04,,Minor hydrothermal eruption,2,Confined to basin,
2007-09-25,,Moderate hydrothermal eruptions with lahars down Whangaehu valley and Whakapapa ski field,4,Confined to summit plateau and Whangaehu valley and Whakapapa ski field,
2009-07-13,,Phreatic activity,2,Small snow slurry lahars in upper Whangaehu,
